1000, 0.00296, 0.002
2000, 0.00283, 0.002
3000, 0.00279, 0.002
4000, 0.00280, 0.002
5000, 0.00273, 0.002
6000, 0.00278, 0.002
7000, 0.00267, 0.002
8000, 0.00276, 0.002
9000, 0.00270, 0.002
10000, 0.00282, 0.002
11000, 0.00277, 0.002
12000, 0.00273, 0.002
13000, 0.00273, 0.002
14000, 0.00276, 0.002
15000, 0.00271, 0.002
16000, 0.00268, 0.001
17000, 0.00267, 0.001
18000, 0.00267, 0.001
19000, 0.00269, 0.001
20000, 0.00270, 0.001
21000, 0.00269, 0.001
22000, 0.00275, 0.001
23000, 0.00263, 0.001
24000, 0.00268, 0.001
25000, 0.00268, 0.001
26000, 0.00269, 0.001
27000, 0.00265, 0.001
28000, 0.00274, 0.001
29000, 0.00273, 0.001
30000, 0.00266, 0.001
31000, 0.00273, 0.001
32000, 0.00265, 0.001
33000, 0.00259, 0.001
34000, 0.00262, 0.001
35000, 0.00262, 0.001
36000, 0.00268, 0.001
37000, 0.00262, 0.001
38000, 0.00259, 0.001
39000, 0.00257, 0.001
40000, 0.00271, 0.001
41000, 0.00259, 0.001
