scorer,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Record1/img000553.png,351.6250144976974,264.3073736994712,324.6354187276138,234.80711785775196,293.5660003411223,157.6043206549548,300.4703155381204,145.36485280573083,315.5342759679345,148.50317789527546,349.74201944397066,226.33364011598155
labeled-data/Record1/img009963.png,250.64730755502674,128.37827188578223,283.4717691850089,111.53789591909573,364.8193480071385,144.64778765020816,355.68558477096957,152.3544003807257,343.41209042236756,146.07493815585957,284.32805948839973,132.9451535038667
labeled-data/Record1/img010372.png,343.03116152140535,269.7189377451816,329.0451475353914,243.11139894252085,294.25067371652733,154.76072522599344,302.7787310250724,144.8681787480811,315.741378134061,148.96164625618277,354.9704417533685,240.7235428961282
labeled-data/Record1/img011702.png,398.06228324521,38.88948752060952,378.3113025186195,59.07937893001312,355.0490363295241,152.1284436863949,339.68716243106485,154.7619077832736,333.9813235544942,143.7891407129456,354.17121496389785,54.6902721018819
labeled-data/Record1/img015498.png,367.651267269316,80.65968480300182,370.33248848712265,115.81347410313258,316.1122371937006,189.6960143271362,303.5998715106032,187.90853351526516,303.5998715106032,173.01286008300636,347.69106487008924,106.57815657513213
labeled-data/Record1/img019017.png,326.09760532150773,189.45913900733407,293.82743646597305,161.00271738018074,332.8450042640286,102.62304826880433,336.65875149241003,114.9443854681903,321.40376257888454,120.5183237250554,315.2430939791915,153.375222923418
labeled-data/Record1/img026754.png,274.8935300471885,236.83302041048378,275.3142475410767,209.48638330774912,333.7939791915401,109.35561976235144,344.3119165387457,114.82494718289837,343.4704815509693,128.2879069873216,300.13657968048204,215.37642822218427
labeled-data/Record1/img040018.png,371.26601739723685,50.032633805219064,376.26459605435207,86.45084973563013,348.77241344021826,171.0696455739382,333.06259480357033,174.99710023310018,325.5647268178975,164.2858602535675,353.4139507646824,81.80931241116596
labeled-data/Record1/img040194.png,301.9564352720449,70.68745215759853,338.2791369606003,71.88820262664169,355.08964352720443,151.43792120075045,335.877636022514,158.64242401500937,331.97519699812375,144.53360600375234,329.2735084427767,92.00077298311446
labeled-data/Record1/img045768.png,390.38466389054133,226.3512399762046,360.022736466389,244.568396430696,288.88907792980365,206.9774386674598,300.7446876859012,202.06169803688277,309.13036287923853,210.1582120166567,357.1311243307555,223.45962784057104
labeled-data/Record1/img050339.png,361.1396884416397,306.5435895161748,309.5529012450964,292.43022320768654,308.57956563761445,209.69669657172088,323.1795997498437,213.1033711979077,324.15293535732565,226.730069702655,327.0729421797715,275.39685007675246
labeled-data/Record1/img057203.png,358.7286178861789,307.031166979362,310.7486303939962,293.0224115071919,307.9468792995622,209.32009756097548,324.05694809255783,211.421410881801,323.7067292057536,225.07994746716685,327.55913696060037,275.5114671669793
labeled-data/Record1/img066640.png,277.5091850089232,234.9758875907198,317.46939916716235,244.395080928019,374.269989292088,319.7486276264128,365.7070862581796,327.7406704580606,353.7190220107078,320.8903480309339,306.33762522308143,265.5169084116597
labeled-data/Record1/img083331.png,346.70764113934837,214.0952638580931,335.81901756779797,250.2610492921712,336.9856558076069,326.481414293024,328.8191881289441,338.1477966911137,317.1528057308544,333.09236431860813,315.9861674910455,238.20578748081184
labeled-data/Record1/img091432.png,295.56736937858886,269.3177779293876,322.3704849621922,244.12930786286876,389.86266757632603,180.51227448973785,398.58175336858255,188.26257297174365,394.38367502416276,198.27337517766782,344.65259309795886,258.98404662004657
labeled-data/Record1/img103178.png,307.74240649297167,291.6888507589971,311.243339587242,253.61960293365172,390.32913184376594,197.37535937233503,395.48690090397406,207.44528944226508,386.8906191369606,217.02400341122296,331.3831997271021,265.1631813064984
labeled-data/Record1/img107646.png,438.70869958358116,253.69921741820343,400.5263604997025,252.9119526948245,307.23549077929795,243.46477601427722,299.36284354550855,232.8367022486615,305.66096133254007,224.57042265318262,403.67541939321825,231.6558051635931
labeled-data/Record1/img114361.png,386.6170398572277,248.47659812016656,343.9424414039262,249.8421852706722,247.3271505056513,245.4040270315288,239.4750243902438,235.16212340273643,244.93737299226643,225.94441013682328,347.01501249256387,227.30999728732894
labeled-data/Record1/img118104.png,374.8339202855443,234.09869239738248,342.3601832242712,249.86264242712667,243.36257703747768,233.7834133967876,246.20008804283165,221.802811374182,258.4959690660321,219.59585837001782,340.78378822129685,229.68478638905412
labeled-data/Record1/img122748.png,563.3283878643663,162.3155751100535,544.2903866745984,198.04843888161804,462.86632004759065,245.20410336704333,447.0501344437834,240.51782615110045,449.3932730517549,227.33767148126108,532.2818013087447,177.25308373587146
labeled-data/Record1/img125789.png,464.8240880428316,153.75340763831045,482.0618274836406,177.25941596668645,438.1839452706722,251.53840228435448,424.393753718025,244.01647961927418,430.3486091612135,232.42018217727536,461.0631267102915,184.78133863176674
labeled-data/Record1/img135373.png,531.7426555621653,195.76290864961325,522.5249422962522,230.58538098750734,427.9580321237358,254.48315612135625,416.6919381320642,246.63103000594873,421.81288994646036,232.97515850089223,512.6244354550862,211.12576409280183
labeled-data/Record1/img145301.png,567.5946484235573,189.07089199286133,541.9898893515763,204.0923506484235,458.3476763831052,245.40136195121946,443.32621772754305,240.9632037120761,448.4471695419392,227.64872899464598,529.3582082093991,180.87736908982743
labeled-data/Record1/img146756.png,477.4661197339246,329.65003104212855,446.6013747228381,308.364,437.7321951219512,215.76976496674052,451.21334811529925,214.3506962305986,458.6634589800443,222.1555742793791,469.3064745011086,298.4305188470066
